id;nom;username;photo_url;bio;plateforme;categorie;score_global
1;within now intelligent;whole gosh cow;questioningly;consequently wildly eventually;INSTAGRAM;MODE;9461.75
2;on;onto besides apud;thin fully zowie;think through whereas;INSTAGRAM;FOOD;5541.13
3;foolishly inasmuch;unaccountably dense banish;jell;give whoa hence;INSTAGRAM;LIFESTYLE;10901.09
4;against yowza coaxingly;where zebra even;noted;questioningly huzzah;INSTAGRAM;LIFESTYLE;21254.18
5;so meh boohoo;exasperation finally insidious;barring;icy;YOUTUBE;VOYAGE;5326.26
6;inquisitively into;pfft which surge;deeply before rubric;boo heartache;YOUTUBE;MODE;23553.45
7;ah;uh-huh boohoo bruised;aha sushi after;address straw;INSTAGRAM;LIFESTYLE;19373.7
8;for;ugh record joyously;through but;boo youthfully;YOUTUBE;MUSIQUE;8781.28
9;righteously however midst;outsource;propound supposing;octave ouch;INSTAGRAM;MUSIQUE;29611.81
10;reprove rebuff;thoughtfully soulful after;mid if;likewise hm avaricious;INSTAGRAM;MODE;7680.59
11;confused about;dowse trolley angrily;calculus impeccable;fantastic reckon ruddy;INSTAGRAM;SPORT;22453.04
12;hmph;furthermore;pasta zowie;hastily bran;INSTAGRAM;VOYAGE;16544.87
13;premise;overdub offset optimistically;unaware anti glossy;so;INSTAGRAM;LIFESTYLE;8444.34
14;before notwithstanding;worth compromise incidentally;solution;testify incidentally;TIKTOK;HUMOUR;27208.54
15;absent softly stealthily;duh gummy;while innocent;mid surprisingly far;TIKTOK;TECH;859.59
16;mysteriously measly;following;now certification aboard;um;YOUTUBE;FOOD;4965.98
17;hungrily yeast;madly;blah inventory because;jealously off cycle;TIKTOK;SPORT;6959.49
18;gah uh-huh;furthermore where;seriously eventually;highlight convalesce;INSTAGRAM;VOYAGE;28826.82
19;stuff vice but;ick because;negotiation;patiently into;YOUTUBE;SPORT;31200.71
20;essential boss adult;braid;deprave quickly;mmm;TIKTOK;MUSIQUE;29520.44
21;hubris passionate;blah;scarily reckless;courtroom;INSTAGRAM;MUSIQUE;21454.56
22;filter;despite;talkative woot towards;afore outlying;YOUTUBE;AUTRE;29196.83
23;festival black;ugh persecute;incidentally;why handy rarely;TIKTOK;SPORT;3376.8
24;potable volunteer cutover;over until;aw boo concerning;condense meh extroverted;TIKTOK;LIFESTYLE;30691.39
25;abaft;avalanche;phony;supposing yet phew;YOUTUBE;MUSIQUE;27380.11
26;though failing;till accessorise;fatally;eyeliner;YOUTUBE;SPORT;6041.65
27;vastly;hmph;armoire playfully;culminate;INSTAGRAM;SPORT;9976.02
28;major softly;papa bah despite;around absent gift;than sick;TIKTOK;LIFESTYLE;7001.97
29;scale but tut;microchip thoughtfully which;crackle;affect;TIKTOK;TECH;10851.93
30;meatloaf;needy hence;kindheartedly;bob coin;YOUTUBE;LIFESTYLE;21688.4
